Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time,Launch Site,Booster Landing
1,,Dragon Spacecraft Qualification Unit,0,LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",F9 v1.07B0003.18,,4 June 2010,18:45,CCAFS,Failure
2,,Dragon,0,LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,F9 v1.07B0004.18,,8 December 2010,15:43,CCAFS,Failure
3,,Dragon,525 kg,LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,F9 v1.07B0005.18,,22 May 2012,07:44,CCAFS,"No attempt
"
4,,SpaceX CRS-1,"4,700 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",F9 v1.07B0006.18,,8 October 2012,00:35,CCAFS,No attempt
5,,SpaceX CRS-2,"4,877 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",F9 v1.07B0007.18,,1 March 2013,15:10,CCAFS,"No attempt
"
6,,CASSIOPE,500 kg,Polar orbit,"<a href=""/wiki/Maxar_Technologies"" title=""Maxar Technologies"">MDA</a>",Success,F9 v1.17B10038,,29 September 2013,16:00,VAFB,Uncontrolled
7,,SES-8,"3,170 kg",GTO,"<a class=""mw-redirect"" href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>",Success,F9 v1.1,,3 December 2013,22:41,CCAFS,No attempt
8,,Thaicom 6,"3,325 kg",GTO,"<a href=""/wiki/Thaicom"" title=""Thaicom"">Thaicom</a>",Success,F9 v1.1,,6 January 2014,22:06,CCAFS,No attempt
9,,SpaceX CRS-3,"2,296 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",F9 v1.1,,18 April 2014,19:25,Cape Canaveral,Controlled
10,,Orbcomm-OG2,"1,316 kg",LEO,"<a href=""/wiki/Orbcomm"" title=""Orbcomm"">Orbcomm</a>",Success,F9 v1.1,,14 July 2014,15:15,Cape Canaveral,Controlled
11,,AsiaSat 8,"4,535 kg",GTO,"<a href=""/wiki/AsiaSat"" title=""AsiaSat"">AsiaSat</a>",Success,F9 v1.1,,5 August 2014,08:00,Cape Canaveral,No attempt
12,,AsiaSat 6,"4,428 kg",GTO,"<a href=""/wiki/AsiaSat"" title=""AsiaSat"">AsiaSat</a>",Success,F9 v1.1[,,7 September 2014,05:00,Cape Canaveral,"No attempt
"
13,,SpaceX CRS-4,"2,216 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,F9 v1.1[,,21 September 2014,05:52,Cape Canaveral,Uncontrolled
14,,SpaceX CRS-5,"2,395 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,F9 v1.1[,,10 January 2015,09:47,Cape Canaveral,Failure 
15,,DSCOVR,570 kg,HEO,"<a href=""/wiki/United_States_Air_Force"" title=""United States Air Force"">USAF</a>","Success
",F9 v1.1[,,11 February 2015,23:03,Cape Canaveral,Controlled
16,,ABS-3A,"4,159 kg",GTO,"<a class=""mw-redirect"" href=""/wiki/Asia_Broadcast_Satellite"" title=""Asia Broadcast Satellite"">ABS</a>","Success
",F9 v1.1[,,2 March 2015,03:50,Cape Canaveral,No attempt
17,,SpaceX CRS-6,"1,898 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",F9 v1.1[,,14 April 2015,20:10,Cape Canaveral,Failure
18,,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,"<a href=""/wiki/Turkmenistan_National_Space_Agency"" title=""Turkmenistan National Space Agency"">Turkmenistan National<br/>Space Agency</a>","Success
",F9 v1.1[,,27 April 2015,23:03,Cape Canaveral,No attempt
19,,SpaceX CRS-7,"1,952 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Failure,F9 v1.1[,,28 June 2015,14:21,Cape Canaveral,Precluded
20,,Orbcomm-OG2,"2,034 kg",LEO,"<a href=""/wiki/Orbcomm"" title=""Orbcomm"">Orbcomm</a>","Success
",F9 FT[,,22 December 2015,01:29,Cape Canaveral,Success
21,,Jason-3,553 kg,LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",F9 v1.1[,,17 January 2016,18:42,VAFB,Failure
22,,SES-9,"5,271 kg",GTO,"<a class=""mw-redirect"" href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>","Success
",F9 FT[,,4 March 2016,23:35,Cape Canaveral,Failure
23,,SpaceX CRS-8,"3,136 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>",Success,F9 FT[,,8 April 2016,20:43,Cape Canaveral,Success
24,,JCSAT-14,"4,696 kg",GTO,"<a href=""/wiki/SKY_Perfect_JSAT"" title=""SKY Perfect JSAT"">SKY Perfect JSAT Group</a>","Success
",F9 FT[,,6 May 2016,05:21,Cape Canaveral,Success
